"Date - Intl. format or prompt","Text","Link(s) - Separated by comma for FB carousels","Media URL(s) - Separated by comma","Title - For the video, pin, PDF ..","Label(s) - Separated by comma","Alt text(s) - Separated by ||","Comment(s) - Separated by ||","Pin board, FB album, or Google category","Post subtype - I.e. story, reel, PDF ..","CTA - For Facebook links or Google","Reminder - For stories, reels, shorts, and TikToks"
"2026-07-20 08:30","Decidere.

5 decisioni di design che decidono tutto.

pionio.it","","https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-10-lug-2026/1-lun-20-08-morning-decidere/out/morning.png","","","","","","","",""
"2026-07-20 13:00","Dopo la discovery — e prima del design — si decide. 5 decisioni, sempre le stesse, fatte una volta sola per progetto. Una volta prese, il resto è esecuzione.

Gerarchia: cosa entra negli occhi del visitatore nel primo secondo. Una sola cosa, scelta con cura.
Sottrazione: cosa togliere. Sezioni, voci di menù, link. Togliere è quasi sempre la mossa giusta.
Focus: una sola cosa per sezione. Se chiede al visitatore di fare 2 cose, ne fa zero.
Intenzione: 2-3 azioni chiave che il sito deve far compiere. Tutto il design serve quelle azioni.
Sotto la piega: cosa c'è dopo il primo scroll. Metà del traffico non lo vedrà mai. Va fatto bene lo stesso.

Sono decisioni dure. Non si tornano indietro facilmente — perché ogni elemento del sito le presuppone. Prese male, il sito si difende a fatica. Prese bene, l'esecuzione è la parte facile.

Curioso il fatto che la parola ""design"" venga da ""designare"" — proprio ""decidere"". Il primo significato del mestiere è quello: decidere prima di disegnare.

Hai un progetto? Parliamone. pionio.it","","https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-10-lug-2026/1-lun-20-13-educational-cinque-decisioni/out/slide-01.png,https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-10-lug-2026/1-lun-20-13-educational-cinque-decisioni/out/slide-02.png,https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-10-lug-2026/1-lun-20-13-educational-cinque-decisioni/out/slide-03.png,https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-10-lug-2026/1-lun-20-13-educational-cinque-decisioni/out/slide-04.png,https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-10-lug-2026/1-lun-20-13-educational-cinque-decisioni/out/slide-05.png,https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-10-lug-2026/1-lun-20-13-educational-cinque-decisioni/out/slide-06.png,https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-10-lug-2026/1-lun-20-13-educational-cinque-decisioni/out/slide-07.png","","","","","","","",""
"2026-07-20 19:30","Aggiungere è la mossa preferita di tutti — clienti, designer, project manager. Lo capisco. Aggiungere mostra impegno, ha qualcosa da consegnare a fine giornata, fa sentire che si sta lavorando per il progetto. È visibile, gratifica subito.

Togliere è il contrario di tutto questo. Non si vede dall'esterno. Non c'è niente da mostrare al capo. Spesso ti fa sembrare meno produttivo della settimana scorsa.

Eppure il design vero è la lista di cosa togliere. Ed è la mossa più costosa che si possa fare in un progetto — non in soldi, in fatica. Ogni elemento del sito era stato pensato da qualcuno. Disfare ha un costo politico prima ancora di averlo tecnico. Significa dire al collega che la sua sezione preferita esce. Al cliente che la pagina che gli piaceva non funziona. A sé stessi che la decisione di 6 mesi fa va rivista.

Per questo i siti tendono a gonfiarsi nel tempo. Aggiungere è il default — togliere è una pratica.

Hai un'idea? Parliamone. pionio.it","","https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-10-lug-2026/1-lun-20-19-manifesto-sottrarre-costoso/out/manifesto.png","","","","","","","",""
"2026-07-21 08:30","Una.

Una cosa per sezione, una per slide.

pionio.it","","https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-10-lug-2026/2-mar-21-08-morning-una/out/morning.png","","","","","","","",""
"2026-07-21 13:00","Una cosa per sezione. Una per slide. Una per mail.

È una regola così semplice che sembra banale — e invece la violiamo quasi sempre. Una sezione che chiede al visitatore di guardare un'immagine, leggere un testo, cliccare un pulsante e scaricare un PDF non sta facendo 4 cose. Ne sta facendo zero.

L'attenzione del visitatore non si divide come una torta. Si rompe. Quando ci sono troppi inviti contemporanei, la persona sceglie la cosa più facile — chiudere la pagina. È il default cognitivo che vince ogni volta.

La regola vale ovunque c'è una scelta. Una sezione di homepage = un solo messaggio chiave. Una slide di carosello = una sola idea da portare via. Una mail di richiesta = una sola domanda alla volta.

È disciplina, non talento. E come tutte le discipline, sembra una limitazione finché non scopri quanto liberi.

Hai un progetto? Parliamone. pionio.it","","https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-10-lug-2026/2-mar-21-13-pillola-una-per-sezione/out/pillola.png","","","","","","","",""
"2026-07-21 16:00","—","","https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-10-lug-2026/2-mar-21-16-frame/out/frame.png","","","","","","","",""
"2026-07-21 19:30","Mi capita spesso, vedendo siti italiani, di trovare lo stesso pattern: la homepage che vuole mostrare ""tutto"". 4 servizi visibili in dettaglio, 3 casi studio, blog, team, partner, certificazioni, formulario, footer carico. La pretesa di completezza.

Sembra una scelta professionale. È invece la prima causa di siti illeggibili.

Il visitatore non legge un sito come un libro. Lo scorre, lo scansiona, abbandona. Se nei primi 6 secondi non capisce dove guardare, chiude. La completezza non lo aiuta a orientarsi — lo confonde.

La regola che applico sempre: una homepage è leggibile se ha massimo 6-7 sezioni. Una sezione è leggibile se chiede una cosa sola. Se devo violare questa regola, vuol dire che il sito chiede un'altra struttura — non una homepage più lunga.

Il ""completo"" è il nemico del ""leggibile"". Sono 2 virtù che si tirano contro, e quasi sempre vince quella sbagliata.

Hai un sito che dice tutto e non si capisce niente? Parliamone. pionio.it","","https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-10-lug-2026/2-mar-21-19-reactive-design-completo/out/reactive.png","","","","","","","",""
"2026-07-22 08:30","Togliere.

Il design è la lista di cosa togliere.

pionio.it","","https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-10-lug-2026/3-mer-22-08-morning-togliere/out/morning.png","","","","","","","",""
"2026-07-22 13:00","Quando Michelangelo descriveva il proprio metodo, parlava di una figura già contenuta nel marmo. Il suo lavoro era togliere il superfluo, non aggiungere materia. La frase è retorica abbastanza da essere stata abusata. Resta una delle migliori descrizioni del design che conosca.

Per anni ho lavorato pensando che il design fosse aggiungere. Sezioni, contrasti, decorazioni, micro-interazioni. È divertente, gratifica subito, ha qualcosa da mostrare al cliente a fine giornata. Ma quasi mai migliora il sito.

A un certo punto ho cominciato a tenere una lista parallela ai progetti: la lista di cosa togliere. Sezioni che non producono niente. Voci di menù che nessuno apre. Link che disperdono attenzione. Headline che ripetono in altre parole un titolo precedente.

Quella lista è il vero documento di design. È più dura del moodboard. Le decisioni dentro sono tutte impopolari — perché ogni cosa tolta era stata pensata da qualcuno, e disfare ha un costo politico.

Il design è la lista di cosa togliere. Si vede solo nel tempo. Ma quando si vede, dura.

Hai un'idea? Parliamone. pionio.it","","https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-10-lug-2026/3-mer-22-13-hero-lista-da-togliere/out/hero.png","","","","","","","",""
"2026-07-22 19:30","Quando comincio una homepage, non apro Figma per primo. Apro una pagina di taccuino vuota e scrivo una frase. Una sola. La frase del primo secondo.

Quella frase è il punto di partenza di tutta la gerarchia. Risponde alla domanda ""se il visitatore leggesse solo questo, cosa vorrei che gli rimanesse?"". Ci metto fino a 2 ore — meno spesso di più. Provo 5-6 versioni, le scrivo a mano, le rileggo a voce alta, ne scelgo una.

Solo dopo apro Figma. La sezione hero si disegna in 30 minuti — perché la decisione difficile è già stata presa. Tutta la pagina si organizza in funzione di quella frase: cosa c'è subito dopo, cosa supporta la frase, cosa risponde alla domanda che il visitatore si fa dopo averla letta.

Cambiare la frase a metà progetto significa rifare la homepage. Per questo le 2 ore di lavoro all'inizio fanno risparmiare giorni dopo.

Una frase, poi tutto il resto. È il metodo che uso da quando ho smesso di partire dal colore.

Hai un'idea? Parliamone. pionio.it","","https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-10-lug-2026/3-mer-22-19-bts-gerarchia-homepage/out/bts.png","","","","","","","",""
