"Date - Intl. format or prompt","Text","Link(s) - Separated by comma for FB carousels","Media URL(s) - Separated by comma","Title - For the video, pin, PDF ..","Label(s) - Separated by comma","Alt text(s) - Separated by ||","Comment(s) - Separated by ||","Pin board, FB album, or Google category","Post subtype - I.e. story, reel, PDF ..","CTA - For Facebook links or Google","Reminder - For stories, reels, shorts, and TikToks"
"2026-06-29 08:30","No.

5 tipi di cliente a cui dico no.

pionio.it","","https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-07-giu-2026/1-lun-29-08-morning-no/out/morning.png","","","","","","","",""
"2026-06-29 13:00","La nicchia non è marketing. È igiene del calendario.

Ogni sì sbagliato è un no fatto in anticipo a un progetto migliore che arriva la settimana dopo. Negli anni mi sono fatto 5 tipi di no che applico quasi automaticamente.

Il primo: chi chiede il prezzo prima della conversazione. Cerca un fornitore, non un progettista.
Il secondo: chi mi mostra 3 siti che gli piacciono e chiede di fonderli. Non c'è un punto di vista sotto.
Il terzo: chi delega anche i contenuti. Un sito senza materia diventa una vetrina vuota.
Il quarto: chi parte dalla deadline invece che dal perché. Cantieri senza progetto finiscono male.
Il quinto: chi negozia il preventivo prima di leggerlo. Chi negozia all'inizio negozia anche al sessantesimo giorno.

Non li dico per snobismo. Li dico perché ho imparato a riconoscerli — e perché ogni no è un sì futuro fatto in anticipo.

Hai un progetto da raccontarmi? Parliamone. pionio.it","","https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-07-giu-2026/1-lun-29-13-educational-cinque-tipi-no/out/slide-01.png,https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-07-giu-2026/1-lun-29-13-educational-cinque-tipi-no/out/slide-02.png,https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-07-giu-2026/1-lun-29-13-educational-cinque-tipi-no/out/slide-03.png,https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-07-giu-2026/1-lun-29-13-educational-cinque-tipi-no/out/slide-04.png,https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-07-giu-2026/1-lun-29-13-educational-cinque-tipi-no/out/slide-05.png,https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-07-giu-2026/1-lun-29-13-educational-cinque-tipi-no/out/slide-06.png,https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-07-giu-2026/1-lun-29-13-educational-cinque-tipi-no/out/slide-07.png","","","","","","","",""
"2026-06-29 19:30","Tutti parlano di nicchia come se fosse un'arma di marketing. È una forma di igiene del lavoro.

L'igiene è quello che fai tutti i giorni senza chiedertelo. Lavarti le mani, sistemare la scrivania, tenere il tavolo libero. Non lo fai per impressionare qualcuno — lo fai perché altrimenti il lavoro non viene bene.

La nicchia funziona uguale. Non serve a sembrare più focalizzato sui social. Serve a tenere fuori dallo studio quello che mi distrugge: progetti senza materia, clienti che negoziano prima di leggere, deadline scollegate da una ragione, lavori che disperdono il tempo che servirebbe a qualcun altro.

Quando ne fai una questione di marketing, la racconti. Quando ne fai una questione di igiene, la pratichi. La differenza si vede in 3 anni — il tempo che separa uno studio che dura da uno che si consuma.

Hai un'idea? Parliamone. pionio.it","","https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-07-giu-2026/1-lun-29-19-manifesto-nicchia-igiene/out/manifesto.png","","","","","","","",""
"2026-06-30 08:30","Identità.

Scegliere chi sei è scegliere chi non sei.

pionio.it","","https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-07-giu-2026/2-mar-30-08-morning-identita/out/morning.png","","","","","","","",""
"2026-06-30 13:00","Chi sei lo dicono le parole. Chi non sei lo dicono i fatti.

Per anni ho scritto e riscritto la pagina ""Chi siamo"" del sito. Ogni volta più precisa, ogni volta più studiata. Poi mi sono accorto che il visitatore quella pagina la legge una volta su 10 — e che chi voleva capire chi era Pionio davvero, lo capiva dai clienti che avevo (e da quelli che non avevo).

L'identità sopravvive alle parole solo quando la sostituiscono i no. Un no detto bene racconta più di un manifesto stampato. Definisce confini reali, mostra che cosa lo studio sceglie di non toccare.

Scegliere chi sei è scegliere chi non sei. Le 2 cose sono la stessa cosa scritta in 2 tempi diversi.

Hai un'idea? Parliamone. pionio.it","","https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-07-giu-2026/2-mar-30-13-pillola-scegliere-non-sei/out/pillola.png","","","","","","","",""
"2026-06-30 16:00","—","","https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-07-giu-2026/2-mar-30-16-frame/out/frame.png","","","","","","","",""
"2026-06-30 19:30","Il profilo a fisarmonica: UX, brand, dev, marketing, contenuti, social media, AI. Si trova ovunque, costa poco, promette tutto. Solo che non è davvero il riferimento di nessuno.

Quando un cliente cerca chi fa ""tutto"", in realtà sta cercando un esecutore, non un progettista. Il problema non è chi sa fare cose diverse — lo sappiamo tutti, in qualche misura. Il problema è chi le vende come se tutte fossero il proprio mestiere. Il mestiere è quello dove arrivi quando il problema diventa difficile, non dove ti presenti perché ti viene comodo.

Specializzarsi non è uno svantaggio. È l'unica forma seria di posizionamento per chi lavora da solo. La fisarmonica funziona finché ti chiamano per le canzoni facili. Quando arriva quella complicata, chiamano qualcun altro.

Hai un'idea? Parliamone. pionio.it","","https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-07-giu-2026/2-mar-30-19-reactive-designer-fa-tutto/out/reactive.png","","","","","","","",""
"2026-07-01 08:30","Cornice.

La cornice è quello che dà forma al quadro — anche quando non la vedi.

pionio.it","","https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-07-giu-2026/3-mer-1-08-morning-cornice/out/morning.png","","","","","","","",""
"2026-07-01 13:00","Per molti anni ho pensato che il mestiere fosse quello che faccio. Mi presento, dico ""faccio siti"", e dovrebbe bastare.

Invece il mestiere si vede meglio nelle cose che non faccio. Niente app native. Niente e-commerce con 15mila SKU. Niente brand identity da zero. Niente integrazioni CRM complesse. Niente di tutto questo non perché non saprei farlo, ma perché ho scelto di non farlo — per fare meglio l'unica cosa che ho davanti.

La nicchia non si racconta. Si pratica rifiutando. Ogni progetto che dico no è un pezzo di mestiere che si chiarisce, mio e di chi guarda Pionio da fuori.

Quando un cliente mi chiede ""fate anche questo?"", la risposta più seria che posso dare è no. Spesso accompagnata dal nome di chi quel lavoro lo fa meglio.

Hai un'idea? Parliamone. pionio.it","","https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-07-giu-2026/3-mer-1-13-hero-non-faccio/out/hero.png","","","","","","","",""
"2026-07-01 19:30","Dopo ogni call con un potenziale cliente apro un documento di 8 righe. È la mia checklist accetto/non accetto. La uso da 5 anni, l'ho aggiornata 2 volte.

Le 8 voci sono semplici: c'è discovery vera, c'è budget chiaro, c'è materia di partenza, c'è una ragione per cui si fa adesso, c'è una persona che decide, c'è apertura al metodo, c'è rispetto per il tempo, c'è qualcosa che mi interessa imparare. Ognuna con sì o no.

Se la mail di richiesta non soddisfa almeno 6 voci su 8, è no. Senza ragionamenti.

La checklist toglie la decisione dal sentimento e la sposta nel metodo. Significa che il no non dipende più dall'umore di quel giorno, dalla stanchezza, dalla pressione del calendario. Dipende da 8 domande secche scritte 5 anni fa.

Hai un'idea? Parliamone. pionio.it","","https://cdn.jsdelivr.net/gh/gittertothemoon/Pionio_Portfolio@ecf8e441d7c728652a26c5316650c98f0b48922f/instagram/content/settimana-07-giu-2026/3-mer-1-19-bts-checklist-accetto/out/bts.png","","","","","","","",""
